epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,59.8881,0.98324,0.37034,0.43244,1.31445,1.30204,0.86033,0.73629,0.83165,0.66593,0.86033,0.73629,0.83514,0.75428,1.0346,0.61975,0.10177,1.22003,1.32333,0.000411184,0.000411184,0.000411184
49,61.0818,0.99728,0.44402,0.44403,1.45265,1.39288,0.7141,0.80745,0.83706,0.67626,0.7141,0.80745,0.83706,0.74833,0.94889,0.61376,0.10141,1.13574,1.24711,0.000403571,0.000403571,0.000403571
50,62.2666,0.91284,0.36563,0.39452,1.33232,1.23065,0.74039,0.74117,0.8149,0.65727,0.74039,0.74117,0.8149,0.72185,0.92,0.61114,0.10168,1.15788,1.24873,0.000395958,0.000395958,0.000395958
51,63.4273,0.83161,0.3681,0.35142,1.11296,1.1232,0.72766,0.79425,0.82805,0.68114,0.72766,0.79425,0.82805,0.72777,0.9021,0.61278,0.10246,1.10557,1.23874,0.000388345,0.000388345,0.000388345
52,64.5796,0.78102,0.35168,0.37469,1.11773,1.11514,0.89455,0.72753,0.85987,0.73026,0.89455,0.72753,0.85987,0.76548,0.86521,0.6054,0.10265,1.01311,1.20959,0.000380732,0.000380732,0.000380732
53,65.7601,0.85157,0.37002,0.39284,1.19236,1.22036,0.93536,0.74506,0.86561,0.72492,0.94088,0.75784,0.86654,0.76459,0.87194,0.60858,0.10247,0.97355,1.20016,0.000373119,0.000373119,0.000373119
54,66.9574,0.81992,0.34441,0.42633,1.18,1.21701,0.94068,0.74836,0.86469,0.72745,0.94392,0.75907,0.86563,0.76578,0.91517,0.60989,0.11019,1.02638,1.21082,0.000365506,0.000365506,0.000365506
55,68.1402,0.84469,0.36676,0.35255,1.24264,1.22258,0.94023,0.77008,0.86075,0.71911,0.94023,0.77008,0.86075,0.76748,0.96208,0.6106,0.12035,1.04156,1.23537,0.000357893,0.000357893,0.000357893
56,69.3482,0.80418,0.35724,0.37709,1.11488,1.16559,0.87132,0.76749,0.85939,0.69835,0.87132,0.76749,0.85939,0.75816,0.94713,0.6165,0.11644,1.0512,1.23673,0.00035028,0.00035028,0.00035028
57,70.622,0.82495,0.33406,0.36029,1.11097,1.18675,0.81484,0.80897,0.86293,0.69926,0.81484,0.80897,0.86293,0.76928,0.94063,0.61579,0.10684,1.02688,1.25864,0.000342666,0.000342666,0.000342666
