epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.141,1.12361,0.8354,1.05698,0.95114,0.93539,0.97158,0.69947,1.12679,0.61077,1.023,0.000456863,0.000456863,0.000456863
43,118.818,1.12672,0.81956,1.0444,0.92653,0.93432,0.96216,0.69562,1.12813,0.62014,1.02431,0.00044925,0.00044925,0.00044925
44,121.518,1.10607,0.83562,1.04726,0.92753,0.94271,0.96193,0.70821,1.1154,0.59856,1.00941,0.000441637,0.000441637,0.000441637
45,124.251,1.10281,0.81224,1.03019,0.91981,0.93411,0.95893,0.68975,1.1198,0.59471,1.01546,0.000434024,0.000434024,0.000434024
46,127.003,1.10994,0.79927,1.03661,0.94125,0.96917,0.9892,0.73054,1.06948,0.57377,0.99796,0.000426411,0.000426411,0.000426411
47,129.731,1.08896,0.79516,1.03329,0.95068,0.98069,0.99341,0.7391,1.09871,0.58674,1.00896,0.000418797,0.000418797,0.000418797
48,132.475,1.08496,0.78606,1.02464,0.96723,0.9617,0.99349,0.73702,1.07486,0.57415,1.00995,0.000411184,0.000411184,0.000411184
49,135.204,1.09071,0.77808,1.03754,0.97197,0.97574,0.99361,0.75226,1.04664,0.57664,0.9963,0.000403571,0.000403571,0.000403571
50,137.946,1.0895,0.79292,1.03456,0.94372,0.96012,0.9939,0.74477,1.04932,0.5631,0.99878,0.000395958,0.000395958,0.000395958
51,140.652,1.07945,0.76816,1.03957,0.87863,0.98765,0.99233,0.71722,1.07755,0.57807,1.00936,0.000388345,0.000388345,0.000388345
52,143.372,1.06363,0.75848,1.03015,0.94474,0.96668,0.98955,0.72638,1.0914,0.57982,1.00803,0.000380732,0.000380732,0.000380732
53,146.118,1.0499,0.7543,1.00824,0.93247,0.99042,0.99062,0.72816,1.06832,0.56177,0.99978,0.000373119,0.000373119,0.000373119
54,148.838,1.03131,0.76018,1.02132,0.97347,0.95759,0.99146,0.73933,1.04307,0.56575,0.98968,0.000365506,0.000365506,0.000365506
55,151.573,1.01514,0.73513,1.00756,0.979,0.99516,0.99431,0.71241,1.07581,0.56706,1.00602,0.000357893,0.000357893,0.000357893
56,154.283,1.05842,0.74426,1.01246,0.94938,0.98927,0.98798,0.71705,1.0807,0.56088,1.01206,0.00035028,0.00035028,0.00035028
57,157.022,1.06479,0.75203,1.03154,0.97611,0.99259,0.99461,0.73369,1.05888,0.56964,0.99752,0.000342666,0.000342666,0.000342666
58,159.791,1.04971,0.74996,1.01508,0.97851,0.99297,0.99483,0.73478,1.05229,0.55794,0.99508,0.000335053,0.000335053,0.000335053
59,162.5,1.02704,0.72608,1.00853,0.9853,0.98702,0.99486,0.74111,1.05115,0.54195,0.98531,0.00032744,0.00032744,0.00032744
60,165.2,1.0787,0.7563,1.01159,0.96846,0.99369,0.99487,0.75399,1.03234,0.55138,0.98184,0.000319827,0.000319827,0.000319827
61,167.93,1.02879,0.71941,1.00852,0.98379,0.98149,0.99491,0.74003,1.0117,0.55073,0.9773,0.000312214,0.000312214,0.000312214
62,170.673,1.02385,0.71996,1.00712,0.98283,0.97542,0.99491,0.73797,1.01465,0.54549,0.97665,0.000304601,0.000304601,0.000304601
63,173.374,0.9877,0.75365,1.01227,0.97068,0.98222,0.99492,0.73795,1.0342,0.55015,0.97959,0.000296988,0.000296988,0.000296988
64,176.08,0.99255,0.70149,0.99423,0.97219,0.98793,0.99471,0.75639,0.98781,0.51197,0.96812,0.000289375,0.000289375,0.000289375
65,178.771,0.97824,0.69636,1.00257,0.95697,0.99141,0.99451,0.77173,0.99563,0.51599,0.96882,0.000281762,0.000281762,0.000281762
66,181.505,1.01117,0.68527,0.99612,0.96046,0.99699,0.99399,0.76382,1.01701,0.52403,0.97155,0.000274148,0.000274148,0.000274148
67,184.191,0.96741,0.68477,0.99477,0.97653,0.99547,0.99354,0.77368,0.97277,0.5212,0.96059,0.000266535,0.000266535,0.000266535
68,186.943,0.96346,0.67781,0.98862,0.98189,0.99578,0.99326,0.75567,0.9945,0.52206,0.96772,0.000258922,0.000258922,0.000258922
69,189.658,0.99444,0.6912,0.99445,0.97192,0.99792,0.99473,0.7616,0.98122,0.51253,0.96465,0.000251309,0.000251309,0.000251309
70,192.355,0.95052,0.68936,0.99658,0.97363,0.99798,0.99491,0.77321,0.98865,0.51248,0.97001,0.000243696,0.000243696,0.000243696
71,195.075,0.94393,0.65094,0.97855,0.9759,0.99741,0.99492,0.76177,0.98731,0.50577,0.96312,0.000236083,0.000236083,0.000236083
72,197.762,0.94965,0.66041,0.98485,0.97852,0.99385,0.99467,0.77638,1.00189,0.51119,0.96436,0.00022847,0.00022847,0.00022847
73,200.473,0.97294,0.66681,0.98819,0.97097,0.99399,0.99236,0.78664,0.97576,0.50593,0.95975,0.000220857,0.000220857,0.000220857
74,203.188,0.93062,0.63373,0.98757,0.97179,0.99474,0.99243,0.78121,0.96477,0.49834,0.95501,0.000213244,0.000213244,0.000213244
75,205.919,0.94496,0.65168,0.98705,0.97115,0.9966,0.99249,0.77883,0.98862,0.51756,0.95854,0.000205631,0.000205631,0.000205631
76,208.628,0.92263,0.64165,0.9806,0.9662,0.99817,0.99008,0.77609,0.96329,0.49844,0.95002,0.000198018,0.000198018,0.000198018
77,211.301,0.92603,0.63275,0.98224,0.96623,0.99871,0.99253,0.78603,0.95153,0.48991,0.94757,0.000190404,0.000190404,0.000190404
78,214.01,0.93019,0.62636,0.96164,0.96888,0.99785,0.99374,0.78895,0.97638,0.49815,0.95336,0.000182791,0.000182791,0.000182791
79,216.752,0.93005,0.63209,0.96683,0.96308,0.99775,0.99238,0.79573,0.93709,0.49888,0.94199,0.000175178,0.000175178,0.000175178
80,219.482,0.91274,0.64264,0.96998,0.9742,0.9979,0.99463,0.79188,0.94278,0.49562,0.94354,0.000167565,0.000167565,0.000167565
81,222.2,0.9312,0.64589,0.98429,0.97578,0.99755,0.99373,0.78977,0.94223,0.48878,0.94657,0.000159952,0.000159952,0.000159952
82,224.895,0.9281,0.63241,0.96135,0.98986,0.97979,0.99373,0.79094,0.93805,0.48455,0.94771,0.000152339,0.000152339,0.000152339
83,227.609,0.93106,0.65113,0.99265,0.98749,0.9914,0.99491,0.79432,0.92914,0.48201,0.94386,0.000144726,0.000144726,0.000144726
84,230.33,0.90178,0.61006,0.96349,0.98495,0.99564,0.99491,0.79095,0.93585,0.48283,0.94212,0.000137113,0.000137113,0.000137113
85,233.014,0.89623,0.61768,0.97264,0.98777,0.99736,0.99494,0.79276,0.94332,0.48756,0.94213,0.0001295,0.0001295,0.0001295
86,235.74,0.87683,0.59219,0.95625,0.98408,0.99758,0.99492,0.7911,0.93263,0.48425,0.94076,0.000121887,0.000121887,0.000121887
87,238.445,0.89998,0.61897,0.96508,0.98358,0.99668,0.99492,0.80602,0.90845,0.47368,0.93449,0.000114273,0.000114273,0.000114273
88,241.128,0.83242,0.59897,0.95052,0.98309,0.99631,0.99491,0.79831,0.91018,0.47175,0.93625,0.00010666,0.00010666,0.00010666
89,243.831,0.87793,0.64421,0.97424,0.9884,0.99433,0.9949,0.80492,0.91417,0.47096,0.9393,9.90472e-05,9.90472e-05,9.90472e-05
90,246.516,0.93065,0.64839,0.96143,0.99094,0.99304,0.99495,0.80395,0.90927,0.4686,0.93953,9.14341e-05,9.14341e-05,9.14341e-05
91,264.481,0.85411,0.61958,0.94169,0.97427,0.99425,0.99493,0.80792,0.90581,0.47435,0.93908,8.3821e-05,8.3821e-05,8.3821e-05
92,267.187,0.84523,0.62048,0.94392,0.97038,0.98665,0.99484,0.80063,0.91079,0.47671,0.94033,7.62079e-05,7.62079e-05,7.62079e-05
93,269.844,0.81019,0.58947,0.92021,0.9652,0.98654,0.9896,0.79987,0.919,0.47874,0.94222,6.85948e-05,6.85948e-05,6.85948e-05
94,272.56,0.80197,0.5796,0.92731,0.96218,0.99429,0.99238,0.79876,0.9156,0.4787,0.94057,6.09817e-05,6.09817e-05,6.09817e-05
95,275.289,0.83012,0.57999,0.94069,0.97189,0.99453,0.99488,0.80202,0.90903,0.47787,0.93792,5.33686e-05,5.33686e-05,5.33686e-05
96,277.995,0.78543,0.56963,0.92326,0.97597,0.9975,0.99487,0.80416,0.90458,0.47801,0.93511,4.57555e-05,4.57555e-05,4.57555e-05
97,280.649,0.79142,0.58566,0.92225,0.97809,0.99763,0.99486,0.80588,0.90307,0.47741,0.93446,3.81424e-05,3.81424e-05,3.81424e-05
98,283.319,0.7965,0.56153,0.92319,0.98494,0.99593,0.99483,0.8055,0.89632,0.47329,0.93196,3.05293e-05,3.05293e-05,3.05293e-05
99,285.994,0.78515,0.57061,0.91242,0.98624,0.99691,0.99484,0.81092,0.89283,0.47112,0.93014,2.29162e-05,2.29162e-05,2.29162e-05
100,288.697,0.811,0.59363,0.93294,0.98293,0.99745,0.99486,0.81227,0.89349,0.4686,0.92951,1.53031e-05,1.53031e-05,1.53031e-05
